Transaction_id,CC_Number,Transaction_Date,Amount,Merchant_Details
1,3874114322413213,2020-11-15,1979.99,"Powers, Kidd and Myers"
2,3874114322413213,2021-10-04,574.61,Robinson-Jenkins
3,3874114322413213,2021-04-08,154.27,"Butler, Barron and Clark"
4,3874114322413213,2022-01-11,2280.99,"Larson, Cordova and Williams"
5,3874114322413213,2024-10-08,1834.07,Park-Day
6,3874114322413213,2023-05-17,782.37,Patterson-Conner
7,3874114322413213,2025-09-22,236.27,Gomez-Fox
8,3874114322413213,2022-10-03,250.60,Wong LLC
9,3874114322413213,2021-05-16,775.70,Shelton Inc
10,3874114322413213,2024-04-20,421.32,"Robinson, Butler and Howell"
11,3874114322413213,2021-07-16,2430.09,Williams-Mckinney
12,3874114322413213,2020-11-29,2132.66,"Gallegos, Bell and Cherry"
13,3874114322413213,2024-12-07,1673.84,Vance-Reilly
14,3874114322413213,2022-01-22,78.01,Marsh-Richards
15,3874114322413213,2021-12-02,699.50,"Roberts, Jones and Martinez"
16,3874114322413213,2021-04-10,2092.12,Butler Group
17,3874114322413213,2023-09-29,19.30,Watson Ltd
18,3874114322413213,2022-06-09,769.82,Carlson PLC
19,3874114322413213,2023-07-02,878.24,"Schmitt, Alexander and Davis"
20,3874114322413213,2025-04-18,295.92,Farmer PLC
21,3874114322413213,2021-09-06,1287.37,Harmon LLC
22,6811768223883845,2025-06-10,2449.71,"Wiley, Clark and Snyder"
23,6811768223883845,2023-06-21,2474.24,Bishop-Young
24,6811768223883845,2025-10-05,1532.11,Cole LLC
25,6811768223883845,2022-07-30,713.23,"Bass, Dominguez and Dickson"
26,6811768223883845,2024-01-28,1237.99,Graham-Cook
27,6811768223883845,2024-09-22,1552.87,Costa Ltd
28,6811768223883845,2022-05-01,1767.00,Ramirez Group
29,6811768223883845,2024-09-22,1169.18,May-Gonzalez
30,6811768223883845,2024-01-05,778.30,Cook Group
31,6811768223883845,2022-03-28,336.45,Newman-Ortega
32,6811768223883845,2021-02-07,812.65,Barry PLC
33,6811768223883845,2025-04-13,1711.26,Williams-Ryan
34,6811768223883845,2022-04-23,140.45,"Long, Meadows and Arroyo"
35,6811768223883845,2021-03-08,448.53,Lewis Group
36,6811768223883845,2020-12-25,191.16,Peters-Ramos
37,6811768223883845,2021-03-13,1949.97,Khan-Kennedy
38,6811768223883845,2025-08-27,1607.87,Castaneda-Ingram
39,6811768223883845,2024-01-09,958.94,Dunlap-Oneal
40,6811768223883845,2022-05-08,668.65,Green Ltd
41,6811768223883845,2021-08-09,1445.19,Mitchell-George
42,6811768223883845,2024-10-27,89.05,Crawford PLC
43,6811768223883845,2024-10-29,605.41,Jackson Group
44,6811768223883845,2023-08-31,1778.10,"Williams, Serrano and Johnson"
45,6811768223883845,2023-05-19,1458.13,Fernandez-Chase
46,6811768223883845,2023-06-07,1500.27,Smith Ltd
47,6811768223883845,2021-06-17,420.53,Pham Inc
48,8036760737427146,2024-06-30,580.05,"Hernandez, Allen and Knox"
49,8036760737427146,2023-08-28,234.08,Smith-Jennings
50,8036760737427146,2024-05-27,233.07,Ray LLC
51,8036760737427146,2025-06-10,1563.16,Padilla-Nichols
52,8036760737427146,2022-10-08,1956.31,Wilson-Morales
53,8036760737427146,2024-09-24,1522.47,Hart Group
54,8036760737427146,2025-09-18,2089.60,Green-Adams
55,8036760737427146,2021-05-11,577.01,"Williams, Walker and Lawrence"
56,8036760737427146,2021-05-09,764.55,"Powers, Mcclain and Ross"
57,8036760737427146,2024-03-26,1634.61,Hamilton Ltd
58,8036760737427146,2020-12-28,372.84,Martinez and Sons
59,8036760737427146,2025-10-17,946.99,Norris-Keith
60,8036760737427146,2022-01-11,445.01,Reynolds Inc
61,8036760737427146,2021-08-18,470.36,Adams-Wong
62,8036760737427146,2023-07-05,479.10,Jackson Group
63,8036760737427146,2021-04-15,750.47,Reese and Sons
64,2443195003516037,2022-10-14,1511.67,"Santos, York and Gutierrez"
65,2443195003516037,2024-06-21,644.13,"Rivera, Thomas and Davis"
66,2443195003516037,2023-02-27,927.95,"Matthews, Reyes and Hunter"
67,2443195003516037,2021-09-02,1317.50,Leach-Russo
68,2443195003516037,2023-05-12,2256.42,"Johnston, Robinson and Lee"
69,2443195003516037,2024-05-18,1829.41,"Cole, Hill and Lee"
70,2443195003516037,2022-12-17,1087.21,"Richmond, Patel and Thompson"
71,2443195003516037,2021-04-10,905.57,"Carter, Alexander and Miller"
72,2443195003516037,2024-03-11,440.14,"Torres, Scott and Dennis"
73,2443195003516037,2024-05-29,1818.92,Caldwell Group
74,2443195003516037,2024-10-25,959.91,Gray Ltd
75,2443195003516037,2022-04-30,2361.84,"Johnson, Costa and Brown"
76,2443195003516037,2022-09-12,825.09,Gonzales-Walker
77,2443195003516037,2025-09-09,1124.97,"Mcdonald, Torres and Long"
78,2443195003516037,2024-08-29,850.72,Garcia Ltd
79,2443195003516037,2021-02-19,55.25,Valdez and Sons
80,2443195003516037,2020-12-21,869.14,"Armstrong, Smith and Mitchell"
81,2443195003516037,2021-07-20,2131.56,"Martin, Freeman and Zuniga"
82,2443195003516037,2022-04-03,2258.65,Moore-Harris
83,2443195003516037,2022-11-15,2017.59,Ramsey-Barrett
84,2443195003516037,2023-09-18,1522.34,Jones-Bray
85,3894053652268616,2021-01-28,1579.26,Rodriguez Group
86,3894053652268616,2025-10-05,622.60,Powell-Smith
87,3894053652268616,2023-05-31,2016.86,"Velazquez, Ortiz and Davis"
88,3894053652268616,2022-05-31,2184.19,Dougherty-Simmons
89,3894053652268616,2023-06-10,709.16,Wagner-Howell
90,3894053652268616,2024-08-18,807.47,"Byrd, Thornton and Anderson"
91,3894053652268616,2025-04-08,2098.93,Abbott-Ward
92,3894053652268616,2023-03-03,1012.74,Campos and Sons
93,3894053652268616,2025-07-22,647.28,"Meyers, King and Fowler"
94,3894053652268616,2025-02-08,2006.62,Burton LLC
95,3894053652268616,2022-11-15,504.32,"Phillips, Rogers and Norris"
96,3894053652268616,2025-08-05,1905.29,"Pierce, Lee and Stephenson"
97,3894053652268616,2021-05-01,1472.17,Francis Group
98,3894053652268616,2024-04-08,341.80,Morrison-Johnson
99,3894053652268616,2022-12-15,2373.90,Duarte LLC
100,3894053652268616,2024-08-13,2336.47,"Schmidt, Davies and Taylor"
101,3894053652268616,2024-03-17,1849.19,"Sullivan, Rivera and Perez"
102,3894053652268616,2022-05-20,1613.00,"Peters, Mcclain and Glenn"
103,3894053652268616,2022-01-25,943.85,Bates-Harris
104,3894053652268616,2023-05-17,1074.82,Smith-Mcclain
105,0660631725805828,2022-10-14,1528.62,Williamson LLC
106,0660631725805828,2024-05-11,1143.01,"Rose, Crawford and Coleman"
107,0660631725805828,2023-07-08,1752.29,Jones Inc
108,0660631725805828,2023-03-29,1751.00,"Page, Walsh and Perez"
109,0660631725805828,2021-01-04,1606.55,Spears LLC
110,0660631725805828,2020-11-30,2158.36,Jones-Obrien
111,0660631725805828,2021-01-04,1083.64,Morrison Ltd
112,0660631725805828,2025-07-08,213.42,"King, Hill and Miller"
113,0660631725805828,2024-05-05,1553.44,Gonzalez Group
114,0660631725805828,2025-05-06,202.90,"Meyer, Torres and Henry"
115,0660631725805828,2021-07-21,538.02,"Parker, Stephenson and Johnson"
116,0660631725805828,2022-11-14,652.51,Walker-Richard
117,0660631725805828,2021-10-16,2330.92,Hoover PLC
118,0660631725805828,2023-04-18,257.47,Mckenzie-Brown
119,0660631725805828,2023-08-10,1201.61,"Lang, Ramos and Patterson"
120,0660631725805828,2023-10-18,1047.66,Camacho-Cook
121,0660631725805828,2021-09-22,815.16,Waters and Sons
