CC_number,Maximum_Limit,Expiry_Date,Credit_Score,Customer_id
0089677997815437,16563.57,2030-10-21,376,292
0109852722715215,6563.86,2026-10-21,525,120
0115896366912021,8670.60,2029-10-21,337,319
0128433528510554,1440.78,2029-10-21,714,108
0183063641706611,5314.18,2027-10-21,717,432
0231296139290210,15660.20,2027-10-21,639,96
0250283120130898,7537.00,2026-10-21,416,145
0297450417186111,4324.80,2027-10-21,590,353
0314945280365176,4053.85,2030-10-21,707,364
0316092468734296,9900.03,2028-10-21,321,222
0326581366604218,1427.02,2028-10-21,786,27
0351084285182038,12155.02,2027-10-21,480,320
0378502639446331,4535.22,2029-10-21,810,476
0448157403186784,5314.57,2029-10-21,319,126
0489326094149245,8046.53,2028-10-21,752,325
0518559076116367,9741.29,2028-10-21,778,229
0536535673455542,1434.23,2027-10-21,317,282
0568931011323002,15665.97,2026-10-21,407,155
0580211622065722,3517.78,2028-10-21,679,460
0632284348137302,1258.58,2029-10-21,375,226
0642353924511845,11427.06,2026-10-21,346,316
0660631725805828,2220.41,2026-10-21,481,7
0700668251378604,12706.39,2026-10-21,447,74
0704468789134847,15552.90,2027-10-21,402,290
0715967987972434,12137.76,2026-10-21,835,247
0755525578389169,7382.52,2028-10-21,366,418
0764313767073504,19952.52,2027-10-21,532,374
0764546913542951,1070.18,2030-10-21,432,267
0791230913881469,16316.36,2028-10-21,413,450
0791487351085933,16227.22,2030-10-21,845,428
0822089272188073,13509.83,2026-10-21,369,41
0826140616797111,4243.98,2028-10-21,396,499
0843418005445751,14906.39,2030-10-21,512,332
0885789788929809,13936.73,2027-10-21,550,421
0971051608255589,2246.21,2027-10-21,711,194
1000266438799362,1641.36,2028-10-21,372,205
1030600401258065,12526.47,2026-10-21,484,475
1043606494347679,6517.21,2026-10-21,617,210
1074198796428429,14960.76,2028-10-21,325,436
1123056908824545,5434.24,2028-10-21,781,260
1129282933934455,12184.93,2027-10-21,468,383
1142917860215290,12720.10,2027-10-21,479,241
1180928640546321,14016.66,2029-10-21,356,165
1280333818813412,11784.62,2028-10-21,690,308
1284165155683179,3573.21,2026-10-21,637,206
1325350327263995,7067.04,2029-10-21,426,236
1393309602794830,11004.63,2030-10-21,363,235
1401635283806224,2021.86,2027-10-21,548,97
1445606160381566,14568.39,2030-10-21,300,426
1454234383034007,17854.89,2026-10-21,739,228
1458944148619879,4956.67,2030-10-21,710,131
1481770454879815,17901.17,2030-10-21,694,18
1519504600237904,12691.38,2026-10-21,494,78
1542271243185470,7819.77,2028-10-21,848,173
1546409563524223,5081.65,2027-10-21,604,45
1561976630851575,8352.36,2026-10-21,823,284
1702196306050827,5462.56,2030-10-21,644,456
1731606328141500,9529.28,2027-10-21,731,233
1749109022005227,8662.82,2027-10-21,413,88
1801346241361910,12296.58,2027-10-21,700,76
1813132301311542,9641.61,2027-10-21,450,224
1878750596557918,3674.03,2030-10-21,654,95
1894022098727911,13310.97,2026-10-21,447,81
1956788396015535,13190.13,2029-10-21,582,195
1977916403209076,12001.18,2026-10-21,762,482
2049647521544967,3798.74,2029-10-21,539,296
2076269940451907,10118.46,2029-10-21,501,47
2105931005122326,2610.30,2026-10-21,302,373
2125811759566932,18722.93,2027-10-21,557,253
2226658063308613,18381.94,2029-10-21,631,242
2297279675458883,14489.60,2028-10-21,832,51
