Customer_id,First_Name,Last_Name,Date_of_Birth,Street_Address,City,State,Zipcode,Email,Sex
1,Brenda,Harris,1944-11-11,7998 Johnson Locks Suite 899,Hallton,NC,2993,awilliams@example.org,F
2,Robert,Stewart,1998-09-17,9576 Evan Stream,South Maurice,IN,67037,adamsdeborah@example.com,F
3,Jeffrey,Stout,1989-09-27,5729 Justin Summit Apt. 722,East Catherine,CT,55024,sandra72@example.com,M
4,Sherry,Snyder,1971-12-20,5228 Lindsay Junction Suite 193,New Jeffreyview,MA,47063,jasonwilliams@example.org,F
5,Kayla,Carrillo,1959-01-06,077 Theresa Tunnel,Port Annahaven,CT,22396,paula89@example.net,F
6,Crystal,Pitts,1949-02-24,125 Fuentes Crossing Apt. 760,Port Lisa,MA,38086,eric47@example.net,F
7,William,Miller,1994-11-04,86326 Hardin Mount,Sherrymouth,FL,1804,jennifer65@example.net,M
8,Jennifer,Holmes,1937-07-25,60290 Barnes Springs Suite 550,Rachelberg,UT,53445,millerleroy@example.org,F
9,Sean,Harris,1950-07-16,41085 Hardy Streets Apt. 884,North William,ME,68833,zterry@example.net,F
10,Matthew,Reid,1964-03-18,46810 Green Parkways Suite 101,Evanstown,NH,44931,johnsonlaura@example.net,F
11,Tonya,Trujillo,1954-09-21,683 Mark Prairie,Port Kimberly,NH,13344,michaelmitchell@example.net,F
12,Dwayne,Simmons,1953-06-01,3715 Chapman Path,Wigginsshire,NM,83923,dmiller@example.com,F
13,Rodney,Alexander,1960-08-20,277 Tammy Passage,Lake Jasonfort,AZ,98345,adennis@example.org,F
14,Eric,Hansen,1999-09-12,408 David Inlet Suite 447,Port Douglasshire,MT,6877,guzmanricky@example.org,M
15,Sharon,Torres,1996-03-21,06794 Mccullough Tunnel Suite 792,New Dana,WV,59474,jason70@example.org,M
16,Elizabeth,Hernandez,1960-09-01,65807 Brewer Way Apt. 094,Lake Anitaborough,RI,71520,christopher99@example.com,M
17,Barbara,Brown,1936-01-30,820 Buchanan Gardens,Millerside,PA,42500,karenshaw@example.org,F
18,Richard,Williams,1992-04-02,4111 Justin Falls Suite 124,Gregoryton,RI,43137,morganhenry@example.org,F
19,Howard,Reeves,1953-10-13,6103 Karen Radial Apt. 788,Averyview,AR,42225,peter52@example.com,F
20,Steven,Russell,1968-05-08,8913 Kevin Lodge,Millerhaven,IL,19161,ojohnson@example.org,M
